No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
2138,ciheran,6.1,2.4,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2139,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
2140,IR 64,6.5,4.3,putih,pulen,SRI,Hujan,tikus,2,Grade C
2141,Beras Merah,6.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2142,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2143,panda wangi,7.4,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
2144,ciheran,6.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
2145,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2146,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
2147,Beras Merah,6.5,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
2148,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2149,panda wangi,7.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2150,ciheran,6.2,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2151,mi kongga,7.2,3.5,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
2152,IR 64,6.1,4.5,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
2153,Beras Merah,6.1,5.5,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2154,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2155,panda wangi,7.5,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
2156,ciheran,6.1,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
2157,mi kongga,7.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
2158,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
2159,Beras Merah,6.4,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
2160,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
2161,panda wangi,7.5,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
2162,ciheran,6.1,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2163,mi kongga,7.1,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
2164,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
2165,Beras Merah,6.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2166,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2167,panda wangi,7.2,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
2168,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2169,mi kongga,7.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
2170,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2171,Beras Merah,6.3,1.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
2172,Beras Hitam,7.2,6.5,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
2173,panda wangi,7.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
2174,ciheran,6,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2175,mi kongga,7.1,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
2176,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
2177,Beras Merah,6.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2178,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2179,panda wangi,7.3,1.4,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
2180,ciheran,6.3,2.2,putih,pulen,SRI,Kemarau,tikus,5,Grade C
2181,mi kongga,7.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
2182,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
2183,Beras Merah,6.3,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
2184,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
2185,panda wangi,7.4,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
2186,ciheran,6.2,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2187,mi kongga,7.1,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
2188,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
2189,Beras Merah,6.4,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2190,Beras Hitam,7.5,6.5,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2191,panda wangi,7.3,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
2192,ciheran,6.5,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
2193,mi kongga,7.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
2194,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
2195,Beras Merah,6.5,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
2196,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
2197,panda wangi,7.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
2198,ciheran,6.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2199,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
2200,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
2201,Beras Merah,6.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2202,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2203,panda wangi,7.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
2204,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
2205,mi kongga,7.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
2206,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
2207,Beras Merah,6.3,1.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
2208,Beras Hitam,7.2,6.5,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
2209,panda wangi,7.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2210,ciheran,6.4,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2211,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
2212,IR 64,6.5,4.3,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
2213,Beras Merah,6.6,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2214,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2215,panda wangi,7.3,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
2216,ciheran,6.6,2.2,putih,pulen,SRI,Kemarau,Burung,3,Grade D
2217,mi kongga,7.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
2218,IR 64,6.1,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
2219,Beras Merah,6.4,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
2220,Beras Hitam,7.5,6.4,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
2221,panda wangi,7.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2222,ciheran,6.1,2.4,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2223,mi kongga,7.4,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
2224,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
2225,Beras Merah,6.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2226,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2227,panda wangi,7.5,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
2228,ciheran,6.3,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
2229,mi kongga,7.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
2230,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
2231,Beras Merah,6.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
2232,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
2233,panda wangi,7.5,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
2234,ciheran,6.2,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2235,mi kongga,7.4,3.5,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
2236,IR 64,6.1,4.5,putih,pulen,SRI,Hujan,Burung,2,Grade C
2237,Beras Merah,6.4,5.5,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2238,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2239,panda wangi,7.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
2240,ciheran,6.1,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
2241,mi kongga,7.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
2242,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
2243,Beras Merah,6.3,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
2244,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
2245,panda wangi,7.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2246,ciheran,6.1,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2247,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
2248,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
2249,Beras Merah,6.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2250,Beras Hitam,7.4,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2251,panda wangi,7.1,1.2,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
2252,ciheran,6.4,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
2253,mi kongga,7.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
2254,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
2255,Beras Merah,6.1,5.1,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
2256,Beras Hitam,7.4,6.3,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
2257,panda wangi,7.5,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
2258,ciheran,6.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2259,mi kongga,7.1,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
2260,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
2261,Beras Merah,6.4,5.1,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2262,Beras Hitam,7.5,6.3,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2263,panda wangi,7.3,1.1,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
2264,ciheran,6.5,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
2265,mi kongga,7.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2266,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
2267,Beras Merah,6.5,5.2,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
2268,Beras Hitam,7.2,6.4,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2269,panda wangi,7.1,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2270,ciheran,6.3,2.4,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2271,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
2272,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
2273,Beras Merah,6.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2274,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2275,panda wangi,7.2,1.4,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
2276,ciheran,6.4,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
2277,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
2278,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
2279,Beras Merah,6.3,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
2280,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
2281,panda wangi,7.4,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
2282,ciheran,6.4,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2283,mi kongga,7.3,3.5,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
2284,IR 64,6.5,4.5,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
2285,Beras Merah,6.6,5.5,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2286,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2287,panda wangi,7.3,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
2288,ciheran,6.6,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2289,mi kongga,7.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
2290,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2291,Beras Merah,6.4,5.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
2292,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
2293,panda wangi,7.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
2294,ciheran,6.2,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2295,mi kongga,7.1,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
2296,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
2297,Beras Merah,6.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2298,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2299,panda wangi,7.1,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
2300,ciheran,6.2,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
2301,mi kongga,7.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
2302,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
2303,Beras Merah,6.3,1.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
2304,Beras Hitam,7.4,6.5,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
2305,panda wangi,7.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
2306,ciheran,6.2,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2307,mi kongga,7.2,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
2308,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
2309,Beras Merah,6.3,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2310,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2311,panda wangi,7.2,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
2312,ciheran,6.4,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
2313,mi kongga,7.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
2314,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
2315,Beras Merah,6.3,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
2316,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
2317,panda wangi,7.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
2318,ciheran,6,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2319,mi kongga,7.1,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
2320,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
2321,Beras Merah,6.3,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2322,Beras Hitam,7.4,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2323,panda wangi,7.3,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
2324,ciheran,6.3,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
2325,mi kongga,7.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
2326,IR 64,6.5,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
2327,Beras Merah,6.3,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
2328,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
2329,panda wangi,7.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2330,ciheran,6.2,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2331,mi kongga,7.1,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
2332,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
2333,Beras Merah,6.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2334,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2335,panda wangi,7.3,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
2336,ciheran,6.5,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
2337,mi kongga,7.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
2338,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
2339,Beras Merah,6.5,1.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
2340,Beras Hitam,7.2,6.5,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
2341,panda wangi,7.1,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2342,ciheran,6.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
2343,mi kongga,7.3,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
2344,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
2345,Beras Merah,6.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2346,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2347,panda wangi,7.1,1.2,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
2348,ciheran,6.5,2.3,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
2349,mi kongga,7.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
2350,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
2351,Beras Merah,6.4,5.1,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
2352,Beras Hitam,7.5,6.3,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
2353,panda wangi,7.8,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
2354,ciheran,6.2,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
2355,mi kongga,7.2,3.3,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
2356,IR 64,6.7,4.2,putih,pulen,SRI,Hujan,Burung,2,Grade C
2357,Beras Merah,6.7,5.1,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2358,Beras Hitam,7.5,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2359,panda wangi,7.2,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
2360,ciheran,6.4,2.2,putih,pulen,SRI,Kemarau,tikus,3,Grade D
2361,mi kongga,7.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
2362,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
2363,Beras Merah,6.3,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
2364,Beras Hitam,7.2,6.4,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
2365,panda wangi,7.5,1.1,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2366,ciheran,6.2,2.4,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
2367,mi kongga,7.2,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
2368,IR 64,6.1,4.3,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
2369,Beras Merah,6.1,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2370,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2371,panda wangi,7.1,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
2372,ciheran,6.2,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
2373,mi kongga,7.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
2374,IR 64,6.2,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
2375,Beras Merah,6.1,5.3,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
2376,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
2377,panda wangi,7.1,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
2378,ciheran,6.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
2379,mi kongga,7.2,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
2380,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
2381,Beras Merah,6.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2382,Beras Hitam,7.2,6.3,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2383,panda wangi,7.1,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
2384,ciheran,6.2,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
2385,mi kongga,7.3,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2386,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
2387,Beras Merah,6.2,5.1,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
2388,Beras Hitam,7.1,6.3,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2389,panda wangi,7.3,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2390,ciheran,6.3,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
2391,mi kongga,7.3,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
2392,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
2393,Beras Merah,6.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
2394,Beras Hitam,7.1,6.4,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
2395,panda wangi,7.3,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
2396,ciheran,6.1,2.4,putih,pulen,SRI,Kemarau,Burung,5,Grade C
2397,mi kongga,7.3,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
2398,IR 64,6.5,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
2399,Beras Merah,6.2,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
2400,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
2401,panda wangi,7.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
2402,ciheran,6.2,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
2403,mi kongga,7.2,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
2404,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
2405,Beras Merah,6.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
2406,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
2407,panda wangi,7.3,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
2408,ciheran,6.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
2409,mi kongga,7.2,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
2410,IR 64,6.1,4.5,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
2411,Beras Merah,6.1,5.5,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
2412,Beras Hitam,7.3,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
